logFC	AveExpr	t	P.Value	adj.P.Val	B
Fut9	-3.50189373353718	5.0950072647238	-5.31379476347867	3.31272181902216e-05	0.00381398449632398	2.42433384874456
Sdcbp	0.924716432070098	7.03028038831897	5.36147324424	2.97239801149377e-05	0.00348497153525359	2.42235242470971
Arntl	1.12095328016835	4.64921306633441	5.290435750562	3.49369280882374e-05	0.00386700487958477	2.38858056793431
Mmp11	1.47123430904311	5.27497361580173	5.30391233275815	3.38808998128473e-05	0.00381398449632398	2.35923368266747
Apln	3.08729278302012	0.956597678872392	5.29489695590105	3.45836853540983e-05	0.00385486318158217	2.2927065563876
Akap13	1.14393284108839	7.05966424923089	5.302681553573	3.39759801605814e-05	0.00381398449632398	2.2844286393623
Duoxa1	-1.47552121807078	0.391355322586714	-5.25284462763168	3.80632580938887e-05	0.00415493275248324	2.25438242476294
Map4k3	0.821027261979725	7.04179935195519	5.27935516177294	3.58302833151622e-05	0.00393834530772491	2.23148542215213
Vwa5a	1.65216996203535	5.95260702308503	5.23287279615998	3.98386581036594e-05	0.00428956653377361	2.15038200658032
Dnmt1	-1.31330027096758	8.63451453187696	-5.22654108128461	4.04189377590977e-05	0.00432264153277701	2.12443576809042
Gm14005	2.23181517483218	1.5895987211507	5.14210213454352	4.90329388691132e-05	0.00507250559751846	2.10971468128311
Wbscr17	3.38605057528037	1.29048890894533	5.30415305772802	3.38623349990628e-05	0.00381398449632398	2.10426693544904
Sptssb	1.38138416112514	-1.39982445908474	5.1741428941425	4.55635749068432e-05	0.00474460699753627	2.09923147842727
Atad2	-1.31039597873739	7.79827161667289	-5.19715779554539	4.32264936881047e-05	0.00456125961396881	2.09040445614521
Map4	1.2888725972555	7.77056414883636	5.21505100287203	4.14940260887397e-05	0.00440783520088975	2.08764186845912
Flot1	1.57822611691023	4.86279808377458	5.13014564381503	5.03953886612519e-05	0.00517959877746945	2.01628027940483
Nt5dc2	-1.5201511471821	6.36765728049128	-5.11203521676558	5.2532768273051e-05	0.00526833694838228	2.01625847115872
Sec24d	1.69834173521184	5.0321060309413	5.11155921628401	5.25901717111701e-05	0.00526833694838228	1.99759842945414
Pmp22	2.1703999846028	3.88831367880633	5.10880108093355	5.29240471437161e-05	0.00526843910811785	1.9937646883013
Rbms1	0.924281299346029	6.07787583001239	5.12114719614258	5.14461002424371e-05	0.00525347661056319	1.90926355516546
Hist1h2bn	-1.81489648728661	7.23828399489994	-5.0888656666858	5.54021879924941e-05	0.0054466200717093	1.89400281146945
Hcfc1r1	1.66284088806867	4.78841153977429	5.08329329977814	5.61157408977164e-05	0.00548271572178429	1.88619617489036
Prr13	1.30445977316041	4.98904676156742	5.06648456378136	5.8325211289492e-05	0.00566362849257717	1.85526507731844
Cldn1	4.48055794112885	-1.70996918896956	5.23812549072824	3.93637051369019e-05	0.00426745701991016	1.83694655820811
Tnfrsf11b	5.59876044676511	2.00962267067578	5.02035596728342	6.48537692923488e-05	0.00602880229549436	1.8293421364606
Zfand3	0.905614683468541	5.90919478349139	5.04334440187802	6.15123171619737e-05	0.00586516238578144	1.75290587113021
Fads3	1.90437169078372	4.24496684267026	5.01546672191105	6.55878823177572e-05	0.00602880229549436	1.7466409962246
Fam110c	1.92530287135543	1.40271379317125	4.97167838072938	7.25506034562879e-05	0.00627503252189139	1.74631191172648
Shc1	1.45498516249444	7.13266832984402	5.06259603648066	5.8848815012728e-05	0.00567962831720402	1.74447381055511
Tnfrsf1a	1.34445941040822	4.0633616664005	5.00081871224968	6.78381537378127e-05	0.00613505636396917	1.74174806493022
Vcam1	3.34631431663914	3.70058746751269	5.01479200948967	6.56898496919483e-05	0.00602880229549436	1.7291631719866
Atp8b2	1.172881150707	6.90145848234951	5.04945021599237	6.06545639192427e-05	0.00581842689523499	1.72071369838841
Stom	1.55476585573031	5.45112654136519	5.01093602972824	6.62756886161245e-05	0.00602880229549436	1.66398106844972
Lbr	-1.08409866933848	7.68359225075465	-4.99642221588744	6.85287299956398e-05	0.00613505636396917	1.66055029306843
